ticker,date,count,length,PctOld,PctRecombination,ExtentOld,ExtentRecombination,AbnPctOld,AbnPctRecombination
AA,20150408,1,465.0,1.0,0.0,0.96,0.1499999999999999,0.4177134853613931,-0.0677951011344178
AA,20150708,2,454.5,0.5,0.5,0.6799999999999999,0.30499999999999994,0.15900203464689533,0.08567164919988546
AAL,20150305,1,25.0,0.0,0.0,0.02,-0.009999999999999998,-0.49725140253888145,-0.28399099022874075
AAL,20150316,1,334.0,1.0,1.0,0.83,0.62,0.2915032182740809,0.3888538836736724
AAP,20150706,1,321.0,1.0,1.0,0.91,0.19000000000000006,0.37194150392323255,-0.04262803828807049
AAPL,20150306,1,169.0,0.0,0.0,0.17,0.020000000000000018,-0.3614628780402266,-0.23301424955021066
AAPL,20150309,2,241.5,0.5,0.5,0.755,0.465,0.2409994737168465,0.22194699809774102
AAPL,20150325,1,369.0,1.0,0.0,0.85,0.030000000000000027,0.3103875474181904,-0.19731299106752942
AAPL,20150402,1,360.0,1.0,1.0,0.7,0.29,0.1606660502054903,0.06172215607233078
AAPL,20150427,1,258.0,1.0,1.0,0.64,0.32,0.10429068039969225,0.07967610661072783
AAPL,20150518,2,307.5,0.5,0.5,0.645,0.30500000000000005,0.12843102044282406,0.07024267471687085
AAPL,20150608,1,279.0,1.0,0.0,0.75,0.07999999999999996,0.21346151759957754,-0.15765693409367984
AAPL,20150721,1,364.0,1.0,1.0,0.65,0.14,0.11054158940526781,-0.08784730491535783
ABBV,20150304,1,442.0,1.0,1.0,0.72,0.27999999999999997,0.17831030063650788,0.06004233173841919
ABBV,20150724,1,243.0,1.0,1.0,0.65,0.39,0.11491614235328018,0.14770211302174496
ABT,20150722,1,108.0,1.0,0.0,0.89,0.08999999999999997,0.3625970611169763,-0.173268295494784
ADP,20150304,1,435.0,0.0,0.0,0.59,0.35,0.04849693089013607,0.12937045170909492
ADP,20150401,2,115.5,1.0,1.0,0.98,0.735,0.4730359103734286,0.47250659038459214
ADP,20150506,1,344.0,1.0,0.0,0.67,0.09000000000000008,0.1311752568397494,-0.14002827632718684
ADP,20150603,1,141.0,0.0,0.0,0.41,0.38999999999999996,-0.11976666303732592,0.1324440448230187
ADP,20150701,1,459.0,0.0,0.0,0.27,0.010000000000000009,-0.2721331725983095,-0.20835275282408922
ADVS,20150706,1,35.0,1.0,1.0,1.01,0.9,0.49083673669073913,0.6253852309020345
AER,20150601,1,211.0,0.0,0.0,0.57,0.27999999999999997,0.036358958854681656,0.03328003216652786
AER,20150603,1,83.0,1.0,1.0,0.93,0.42000000000000004,0.4047757240399712,0.15222781290465887
AET,20150625,1,450.0,0.0,0.0,0.22,0.0,-0.3219000831240385,-0.21919775828184074
AET,20150703,1,303.0,1.0,1.0,0.86,0.52,0.32257233870960134,0.2852636241924301
AGN,20150311,1,170.0,0.0,0.0,0.01,0.0,-0.521519353640185,-0.252857333507421
AGN,20150316,1,248.0,0.0,0.0,0.21,0.16999999999999998,-0.3252956377582288,-0.07163322623885574
AGN,20150617,1,273.0,0.0,0.0,0.58,0.07999999999999996,0.043693244185954994,-0.1584078787289032
AIG,20150227,1,164.0,1.0,1.0,0.73,0.19999999999999996,0.19882340617152128,-0.0538042305991665
AIG,20150416,1,93.0,0.0,0.0,0.56,0.3500000000000001,0.03385335287652147,0.08403517617941053
AIG,20150430,1,425.0,1.0,0.0,0.98,0.030000000000000027,0.43876780590867426,-0.19160094072137188
AIG,20150601,1,470.0,1.0,1.0,0.73,0.44,0.18758692201290994,0.2226662033563683
AIG,20150603,1,287.0,1.0,1.0,0.73,0.39999999999999997,0.1931586075546653,0.16333110666462514
AIG,20150615,2,170.0,0.5,0.0,0.585,0.07499999999999996,0.0744997765936739,-0.17841172153704693
AIG,20150728,1,328.0,0.0,0.0,0.09,0.009999999999999995,-0.44829622007154013,-0.22182596430493545
ALL,20150505,2,154.5,0.5,0.5,0.7,0.42499999999999993,0.19040540109652881,0.1691153561810113
ALLY,20150305,2,92.0,0.5,0.5,0.465,0.185,-0.04003862047862011,-0.08170004130905922
ALLY,20150311,4,130.25,0.75,0.5,0.57,0.24499999999999994,0.08299120086224782,-0.01548482516214289
ALXN,20150506,1,147.0,1.0,1.0,0.69,0.43999999999999995,0.15984958286004158,0.1834415472302971
AMAT,20150427,1,158.0,0.0,0.0,0.15,0.13,-0.38082409767323033,-0.12476419086878454
AMGN,20150421,1,90.0,1.0,1.0,0.71,0.36999999999999994,0.1841221752245179,0.103492587836643
AMGN,20150730,1,394.0,1.0,1.0,0.62,0.49,0.07964158242933062,0.2652967211420556
AMZN,20150423,1,315.0,0.0,0.0,0.44,0.08000000000000002,-0.09785141984092821,-0.1533233584222096
AMZN,20150723,1,172.0,1.0,0.0,0.95,0.08999999999999997,0.41836845568681746,-0.16254457467646843
ANTM,20150622,1,136.0,1.0,0.0,0.63,0.12,0.10056269038889187,-0.13839730303711945
ANTM,20150722,2,147.5,0.5,0.5,0.67,0.54,0.16083727338651654,0.28296968506295794
ANTM,20150724,1,386.0,0.0,0.0,0.56,0.41000000000000003,0.01987604273928123,0.1844725491127587
APA,20150408,1,152.0,1.0,1.0,0.93,0.3500000000000001,0.39953876887165163,0.09426265158371466
APO,20150601,2,176.5,0.5,0.5,0.585,0.31499999999999995,0.07413877428304205,0.06259954675908119
ARCC,20150723,1,174.0,0.0,0.0,0.39,0.06,-0.14174273755230415,-0.19223324069925618
ARES,20150610,1,229.0,1.0,1.0,0.69,0.58,0.1555278861481183,0.33580418818456065
ARES,20150723,1,179.0,0.0,0.0,0.29,0.24999999999999997,-0.2420164827308579,-0.0014610884139492353
ARRS,20150422,1,178.0,0.0,0.0,0.56,0.51,0.02803779127313999,0.2583851836819649
ATI,20150623,1,304.0,0.0,0.0,0.35,0.09999999999999998,-0.18746347945728514,-0.13461745979138592
AVGO,20150528,1,298.0,0.0,0.0,0.48,0.09999999999999998,-0.05724714811839782,-0.1353342022415679
AVP,20150514,1,144.0,0.0,0.0,0.26,0.0,-0.26996005523263444,-0.2570555456871563
AXP,20150305,2,277.5,0.0,0.0,0.25,0.07500000000000001,-0.26546179288521854,-0.163398251511174
AXP,20150311,5,266.2,0.2,0.0,0.386,0.08600000000000002,-0.10123430527865163,-0.15455676071243205
AXP,20150416,1,250.0,1.0,1.0,0.7,0.26999999999999996,0.164620589186941,0.028630752158972622
AXP,20150529,2,163.0,0.5,0.5,0.47,0.30999999999999994,-0.040099406729317666,0.05548229936203669
AXP,20150722,1,22.0,0.0,0.0,0.05,0.0,-0.46659118086327406,-0.27327034493925734
BA,20150224,2,320.5,0.5,0.5,0.58,0.44999999999999996,0.0629777721229009,0.21675990893895505
BA,20150623,1,262.0,1.0,1.0,0.97,0.5,0.4341287390531643,0.2601925675914918
