date,mcap,WeightedReturn,WeightedTurnover,ValueWeightedReturn,ValueWeightedTurnover
20140102,11624137784.109962,-91165530.52237187,65348566.199323386,-0.007842777865812457,0.005621799002473455
20140103,11592087831.90627,-8055751.256985863,62673586.0722485,-0.0006949353191418262,0.0054065830919383315
20140106,11597701890.924494,-26547815.016792048,76211563.69332717,-0.002289058234680649,0.006571264239251116
20140107,11590842219.056725,66198237.93414322,77263088.88626485,0.0057112534777934805,0.006665873577265604
20140108,11602806429.881279,-1451186.0033315325,81260877.86846785,-0.00012507198255020627,0.007003553697077347
20140109,11648391641.388397,-4367486.056294779,78734876.36167736,-0.0003749432703461376,0.006759291650352922
20140110,11629913533.599201,9993924.964153728,73108966.27096583,0.0008593292577181206,0.0062862863132861335
20140113,11594754770.670946,-141195334.39688912,86241908.26566467,-0.012177517954415405,0.007438010546269981
20140114,11503994045.194258,126710553.27187255,81931109.05627814,0.011014483558847574,0.007121970746369127
20140115,11631836809.003273,67969275.78296956,92547917.33165134,0.005843382855093015,0.007956431890448928
20140116,11638251527.406569,-16917233.420171317,77876839.49571294,-0.001453588915855052,0.006691455268200993
20140117,11644080109.35406,-50562576.692513965,97799076.09529105,-0.004342341878247251,0.00839903841066208
20140121,11656931017.204428,33549908.88971669,89463795.16258617,0.0028781082122044375,0.007674729740662172
20140122,11639299404.639105,-2509167.4007204804,79398766.11393668,-0.00021557718497389932,0.006821610421181408
20140123,11566791224.00837,-88572721.30872925,93325269.85637,-0.007657501513893077,0.008068380249023718
20140124,11476433964.711094,-233020245.6070259,107403420.64976665,-0.02030423791253801,0.0093586057289243
20140127,11313143344.43656,-66332838.078297116,105865959.38271774,-0.005863342844578866,0.009357784672177712
20140128,11233762271.515846,66359883.57497335,93328280.28806904,0.005907182471115171,0.008307838285372193
20140129,11204722120.414915,-123023476.2525878,102461633.3824292,-0.010979609751181603,0.009144504636642877
20140130,11283188506.34773,135255501.9114055,105258203.65165228,0.011987347533484268,0.009328764080511089
20140131,11158377581.01249,-75756640.09132771,109668074.30603404,-0.006789216401875308,0.009828317200221771
20140203,11222660141.518368,-255754392.04437178,116143967.72678548,-0.022789106042533116,0.01034905862444408
20140204,11017708328.847132,85372001.61030716,92659771.52410157,0.007748616959370923,0.008410076647381831
20140205,11006791038.50246,-17420267.030158624,89388390.92829804,-0.0015826835422986967,0.008121203592910206
20140206,11047135123.534386,122135768.04218915,86856374.5130016,0.011055877082737576,0.007862343815091587
20140207,11192701581.973015,147779902.03252125,91138726.79038277,0.013203237926984118,0.008142692461056138
20140210,11288975702.891342,17523590.37441859,77157774.07218476,0.0015522746115868096,0.006834789630419971
20140211,11320321036.36534,129180285.99628495,82325815.28686328,0.011411362414661818,0.007272392277780839
20140212,11437116923.148298,-9223754.81576963,78096901.67012848,-0.0008064755198140096,0.006828373111414404
20140213,11344675059.253878,62984963.55055685,83224024.85572717,0.005551940731804378,0.007335954923437065
20140214,11472852013.217295,53024001.057582684,74143048.05783835,0.004621693106168928,0.006462477505368489
20140218,11549306144.183754,3186560.753507657,80402106.77631748,0.00027590928093220677,0.006961639580123875
20140219,11511694518.90067,-79342100.00661598,86886760.4285557,-0.006892304158727182,0.007547695110037815
20140220,11462699861.721922,67133492.22709776,86662486.66853596,0.005856691096944852,0.007560390458964487
20140221,11545197034.57475,-32857580.621449582,84287602.240964,-0.0028459956571594224,0.007300663816177876
