,ticker,date,assets
29224,DWOG,20180220,23.552
4710,STSC,20180216,0.0
53277,MCTC,20180126,0.006
53276,MCTC,20180122,0.006
53935,DDDX,20180117,1.185
29223,DWOG,20171229,23.684
39061,ALRT,20171208,0.054000000000000006
39085,PWEBD,20171207,0.42700000000000005
57513,ISRB,20171031,0.308
25153,SFEG,20171027,17.05
41753,SRRE,20171024,103.984
41754,SRRE,20171024,106.28399999999999
41752,SRRE,20171023,105.756
41751,SRRE,20171020,103.618
25152,SFEG,20171018,17.683
228,ATPT,20171017,0.0
233,ATPT,20171017,0.0
234,ATPT,20171017,0.0
232,ATPT,20171017,0.0
231,ATPT,20171017,0.0
230,ATPT,20171017,0.0
229,ATPT,20171017,0.0
227,ATPT,20171017,0.0
53721,CGEM,20170926,0.0
54009,AURM,20170926,0.003
54010,AURM,20170926,0.001
54011,AURM,20170926,0.001
54012,AURM,20170926,0.0
54008,AURM,20170926,0.004
53720,CGEM,20170920,0.001
11920,AUSI,20170918,0.255
11921,AUSI,20170918,0.179
11922,AUSI,20170918,0.203
11923,AUSI,20170918,0.19899999999999998
52668,PSRU,20170810,0.6920000000000001
52664,PSRU,20170803,0.8140000000000001
39729,OXDG,20170801,0.002
13123,PRLX,20170727,8.157
25151,SFEG,20170630,17.820999999999998
16456,UBIQ,20170623,1.203
41750,SRRE,20170620,101.339
13080,HUWX.1,20170619,0.10400000000000001
57193,NMED,20170613,0.002
38066,FRMC,20170608,0.015
13025,HNGR,20170512,1302.305
45534,STJO,20170328,0.0
60872,TRPX,20170322,1.6680000000000001
42474,GLPW,20170315,301.03
16320,IAUS,20170301,4.058
16319,IAUS,20170301,1.078
42775,TMXN,20170221,0.153
42774,TMXN,20170221,0.16899999999999998
13901,ENGA,20170215,0.0
55748,RMSL,20170215,0.019
19930,NBEV,20170214,1.169
26008,CLPR,20170213,881.118
12488,PTPF,20170213,0.0
29835,SACH,20170213,30.795
59751,EVTNF,20170209,0.02
53739,MMEX,20170203,0.003
29612,INVH,20170202,9796.978000000001
25765,LAUR,20170202,7439.116
48975,CILS,20170131,0.0
48976,CILS,20170131,0.0
48974,CILS,20170131,0.0
53738,MMEX,20170130,0.012
25608,ANAB,20170126,56.28
29628,FRHHF,20170125,7.56
52965,FNTE,20170123,0.0
51227,CSUNY,20170118,577.885
29413,FBM,20170113,763.387
29343,KRP,20170106,0.0
55747,RMSL,20170104,0.019
55745,RMSL,20161230,0.02
55746,RMSL,20161230,0.019
29232,JNCE,20161230,52.975
29284,OBSV,20161230,71.59
29252,BBRX,20161230,14.09
47921,CRXM,20161229,0.037000000000000005
29216,METC,20161229,20.352
29132,ICCH,20161223,123.37299999999999
21873,OKRGQ,20161222,4.194
55911,CLCN,20161222,3.332
23675,GLBL,20161221,2659.05
29111,NODK,20161221,258.624
29397,BIVV,20161220,475.6
29100,JAG,20161219,327.73199999999997
29071,TRVG,20161216,825.561
28688,WRD,20161215,427.85
26195,HEBT,20161215,30.134
60736,TIG,20161215,85.97200000000001
7203,PVSP,20161215,0.445
29055,FRAC,20161214,324.795
21627,PIAC,20161214,50.018
29005,7572B,20161209,0.254
12487,PTPF,20161207,0.001
28948,NDRA,20161206,0.302
30797,MHCC,20161205,0.552
19310,TERP,20161205,8228.223
30604,LTFD,20161201,12.463
12486,PTPF,20161129,0.001
29508,LPTX,20161123,1.26
28830,OPTV,20161118,1155.734
28798,HMU,20161118,4.928999999999999
54026,NGRC,20161117,0.031
29174,BRRGF,20161117,473.577
34733,ALTI,20161116,134.159
34732,ALTI,20161116,146.774
34731,ALTI,20161116,135.435
34730,ALTI,20161116,125.555
28770,BYSI,20161115,10.97
13099,FARE,20161114,0.069
28746,ICHR,20161114,198.023
60609,AQB,20161107,2.637
21248,SND,20161107,133.05
51610,CMGO,20161101,0.322
28506,ACCP,20161101,0.7659999999999999
21872,OKRGQ,20161031,4.357
35245,ONSM,20161028,6.473
35244,ONSM,20161028,6.638
47920,CRXM,20161027,0.047
21853,ALPE,20161020,1.094
53719,CGEM,20161019,0.006999999999999999
55708,KEYP,20161017,910.665
55712,KEYP,20161017,829.695
20667,TUSK,20161017,450.986
13122,PRLX,20161014,31.401999999999997
16721,CWH,20161011,1344.0179999999998
21152,SOUM,20161011,0.0
55150,DSKX,20161007,10.715
25721,WAAS,20161006,425.656
28055,GDS,20161004,791.669
56691,BKKN,20161003,6.632000000000001
28004,ZTO,20160930,1633.614
27993,BL,20160930,286.75
28047,RARX,20160930,24.342
28012,QTNA,20160929,46.667
50590,ZINCQ,20160929,392.05199999999996
20735,MRT,20160929,543.6669999999999
26314,TRHC,20160929,58.707
48242,BGRP,20160928,1622.406
53882,KANP,20160927,119.37700000000001
59083,DEAC,20160927,0.102
27890,IRTC,20160923,37.872
12176,VODG,20160922,0.11599999999999999
22384,TYHT,20160922,52.132
27880,SNES,20160921,0.941
52314,VISN,20160920,90.975
33845,CRWE,20160919,0.009000000000000001
33844,CRWE,20160919,0.009000000000000001
33846,CRWE,20160919,0.002
33843,CRWE,20160919,0.008
21626,PIAC,20160919,50.453
55185,SUIC,20160915,1.9580000000000002
25964,NBLX,20160915,305.318
27033,XOG,20160914,1634.14
55910,CLCN,20160913,4.092
30559,EMTC,20160912,2.6189999999999998
27596,CRSP,20160909,159.423
27585,POLA,20160909,4.783
27577,MRAM,20160909,10.960999999999999
27569,OBLN,20160909,14.220999999999998
58899,CYBFD,20160907,0.39899999999999997
58904,CYBFD,20160907,0.0
58902,CYBFD,20160907,0.025
58901,CYBFD,20160907,0.235
58900,CYBFD,20160907,0.397
58903,CYBFD,20160907,0.0
28712,CARS,20160907,2473.667
17587,FECOF,20160906,0.5720000000000001
27494,FLGT,20160902,5.832000000000001
27506,AHPA,20160902,0.41600000000000004
12480,HGEN,20160901,11.145999999999999
